filename,set,width,height,bands,crs,dtype,nodata,percent_nodata,sample_min,sample_max,sample_mean,thumb,status,filesize_mb,has_pair,sample_std,percent_zero,cloud_score
development-set/GC01PS03D0001.jpg,development-set,2037,1401,4,,float32,,0.0,0.0;0.0;0.0;0.0,255.0;255.0;255.0;255.0,184.03982543945312;152.7432861328125;157.3186492919922;95.0537109375,data/thumbs/development-set_GC01PS03D0001.jpg.jpg,ok,1.722,True,56.5260009765625;51.362998962402344;55.07099914550781;55.340999603271484,1.454;1.393;1.246;1.381,5.115
development-set/GC01PS03D0001.tif,development-set,2037,1401,4,,uint16,0.0,1.957,0.0;0.0;0.0;0.0,3129.0;2537.0;1691.0;5446.0,668.9884033203125;831.8329467773438;562.7788696289062;3516.2216796875,data/thumbs/development-set_GC01PS03D0001.tif.jpg,ok,21.781,True,250.25999450683594;172.1790008544922;134.05599975585938;777.3040161132812,1.677;1.677;1.677;1.677,3.118
development-set/GC01PS03D0002.jpg,development-set,2037,1401,4,,float32,,0.0,0.0;0.0;0.0;0.0,255.0;255.0;255.0;255.0,92.12244415283203;99.32591247558594;92.232421875;69.0927734375,data/thumbs/development-set_GC01PS03D0002.jpg.jpg,ok,1.91,True,64.00800323486328;64.53800201416016;61.88999938964844;43.638999938964844,1.348;1.352;1.329;1.222,3.505
development-set/GC01PS03D0002.tif,development-set,2037,1401,4,,uint16,0.0,1.957,0.0;0.0;0.0;0.0,3301.0;2502.0;1805.0;4868.0,2309.35302734375;1891.7686767578125;1248.69140625;3577.689208984375,data/thumbs/development-set_GC01PS03D0002.tif.jpg,ok,21.781,True,464.5190124511719;342.1610107421875;231.8520050048828;511.4930114746094,1.677;1.677;1.677;1.677,11.186
development-set/GC01PS03D0007.jpg,development-set,1960,1583,4,,float32,,0.0,0.0;0.0;0.0;0.0,255.0;255.0;255.0;255.0,191.25804138183594;167.2568817138672;184.62640380859375;120.12239074707031,data/thumbs/development-set_GC01PS03D0007.jpg.jpg,ok,1.795,True,58.25899887084961;52.00400161743164;55.78300094604492;61.5369987487793,1.415;1.377;1.299;1.403,13.363
development-set/GC01PS03D0007.tif,development-set,1960,1583,4,,uint16,0.0,1.603,0.0;0.0;0.0;0.0,3215.0;2887.0;2217.0;5769.0,642.93994140625;842.8341064453125;555.1970825195312;3347.206787109375,data/thumbs/development-set_GC01PS03D0007.tif.jpg,ok,23.681,True,300.0610046386719;209.3560028076172;160.73899841308594;790.7839965820312,1.178;1.178;1.178;1.178,3.015
development-set/GC01PS03D0008.jpg,development-set,1960,1583,4,,float32,,0.0,0.0;0.0;0.0;0.0,255.0;255.0;255.0;255.0,129.57443237304688;127.74179077148438;131.29666137695312;99.45796203613281,data/thumbs/development-set_GC01PS03D0008.jpg.jpg,ok,1.992,True,66.46600341796875;62.45399856567383;61.85599899291992;47.76900100708008,1.34;1.354;1.276;1.304,7.068
development-set/GC01PS03D0008.tif,development-set,1960,1583,4,,uint16,0.0,1.603,0.0;0.0;0.0;0.0,2551.0;2199.0;1789.0;4537.0,1097.7841796875;1107.103271484375;781.5048217773438;2833.376220703125,data/thumbs/development-set_GC01PS03D0008.tif.jpg,ok,23.681,True,306.3919982910156;223.42799377441406;158.71299743652344;457.8080139160156,1.178;1.178;1.178;1.178,4.482
development-set/GC01PS03D0009.jpg,development-set,1960,1583,4,,float32,,0.0,0.0;0.0;0.0;0.0,255.0;255.0;255.0;255.0,170.32427978515625;150.61700439453125;166.55422973632812;144.15310668945312,data/thumbs/development-set_GC01PS03D0009.jpg.jpg,ok,1.877,True,61.249000549316406;52.624000549316406;57.987998962402344;59.09199905395508,1.37;1.342;1.304;1.427,7.176
development-set/GC01PS03D0009.tif,development-set,1960,1583,4,,uint16,0.0,1.603,0.0;0.0;0.0;0.0,3017.0;2614.0;2144.0;5776.0,856.1702270507812;924.2203979492188;656.923095703125;2900.678955078125,data/thumbs/development-set_GC01PS03D0009.tif.jpg,ok,23.681,True,367.7650146484375;247.58399963378906;193.3939971923828;858.041015625,1.178;1.178;1.178;1.178,3.12
development-set/GC01PS03D0010.jpg,development-set,2041,1389,4,,float32,,0.0,0.0;0.0;0.0;0.0,255.0;255.0;255.0;255.0,180.1881866455078;174.60191345214844;167.98878479003906;131.22628784179688,data/thumbs/development-set_GC01PS03D0010.jpg.jpg,ok,1.682,True,59.97700119018555;57.358001708984375;57.47200012207031;61.99800109863281,1.473;1.457;1.381;1.352,14.693
development-set/GC01PS03D0010.tif,development-set,2041,1389,4,,uint16,0.0,1.197,0.0;0.0;0.0;0.0,2893.0;2354.0;1745.0;5288.0,837.0166015625;844.2490234375;575.3753662109375;3250.195068359375,data/thumbs/development-set_GC01PS03D0010.tif.jpg,ok,21.637,True,345.989013671875;226.0679931640625;163.42799377441406;660.9439697265625,0.959;0.959;0.959;0.959,2.898
development-set/GC01PS03D0011.jpg,development-set,2041,1389,4,,float32,,0.0,0.0;0.0;0.0;0.0,255.0;255.0;255.0;255.0,120.67803192138672;134.80691528320312;129.41099548339844;115.47496032714844,data/thumbs/development-set_GC01PS03D0011.jpg.jpg,ok,1.845,True,60.64099884033203;62.40800094604492;61.323001861572266;55.305999755859375,1.508;1.484;1.468;1.313,5.961
development-set/GC01PS03D0011.tif,development-set,2041,1389,4,,uint16,0.0,1.197,0.0;0.0;0.0;0.0,3336.0;2825.0;2003.0;4605.0,1740.1571044921875;1447.0045166015625;1006.1282958984375;3080.611083984375,data/thumbs/development-set_GC01PS03D0011.tif.jpg,ok,21.637,True,414.2300109863281;297.67498779296875;198.5800018310547;423.3900146484375,0.959;0.959;0.959;0.959,4.08
development-set/GC01PS03D0016.jpg,development-set,1832,1685,4,,float32,,0.0,0.0;0.0;0.0;0.0,255.0;255.0;255.0;255.0,93.69559478759766;80.91812133789062;84.25411224365234;98.6904296875,data/thumbs/development-set_GC01PS03D0016.jpg.jpg,ok,1.363,True,55.24300003051758;48.47100067138672;49.79100036621094;47.941001892089844,1.47;1.432;1.371;1.43,3.409
development-set/GC01PS03D0016.tif,development-set,1832,1685,4,,uint16,0.0,3.416,0.0;0.0;0.0;0.0,4083.0;3497.0;2751.0;4739.0,850.9244384765625;763.5587768554688;531.2965087890625;1639.2391357421875,data/thumbs/development-set_GC01PS03D0016.tif.jpg,ok,23.561,True,290.80499267578125;211.61900329589844;155.38999938964844;495.3190002441406,3.036;3.036;3.036;3.036,5.922
development-set/GC01PS03D0018.jpg,development-set,1737,1559,4,,float32,,0.0,0.0;0.0;0.0;0.0,255.0;255.0;255.0;255.0,132.39373779296875;127.64979553222656;140.61990356445312;114.99533081054688,data/thumbs/development-set_GC01PS03D0018.jpg.jpg,ok,1.693,True,66.35299682617188;60.91899871826172;60.452999114990234;65.23200225830078,1.317;1.297;1.288;1.322,6.851
development-set/GC01PS03D0018.tif,development-set,1737,1559,4,,uint16,0.0,1.626,0.0;0.0;0.0;0.0,2075.0;1842.0;1577.0;3516.0,997.2490234375;947.921630859375;835.4367065429688;1546.685302734375,data/thumbs/development-set_GC01PS03D0018.tif.jpg,ok,20.669,True,211.9429931640625;157.61700439453125;123.34100341796875;459.5119934082031,1.224;1.224;1.224;1.224,4.745
